doi,times_cited
10.1177/14614448221101121,0
10.1177/1461444818801317,35
10.1177/1461444821993801,70
10.1177/1461444818800242,26
10.1177/1461444816655627,15
10.1177/1461444819899620,0
10.1177/1461444815600379,29
10.1177/14614448221095160,7
10.1177/1461444820941194,21
10.1177/1461444817717517,12
10.1177/1461444819880155,2
10.1177/14614448221097305,7
10.1177/1461444819855727,10
10.1177/1461444816655612,48
10.1177/1461444817731920,33
10.1177/1461444816661551,29
10.1177/1461444815584764,54
10.1177/1461444818757205,102
10.1177/1461444819833331,219
10.1177/14614448221101405,0
10.1177/1461444820929316,33
10.1177/14614448221074705,0
10.1177/1461444819887705,49
10.1177/14614448211000314,4
10.1177/14614448211069996,7
10.1177/14614448211041176,6
10.1177/14614448211032980,6
10.1177/1461444819851056,20
10.1177/1461444814548994,35
10.1177/1461444820912535,21
10.1177/14614448231158653,3
10.1177/1461444815604421,25
10.1177/14614448231173616,0
10.1177/1461444815600280,11
10.1177/1461444820956345,30
10.1177/1461444816688457,94
10.1177/1461444816642172,32
10.1177/14614448211038810,12
10.1177/1461444820986553,24
10.1177/1461444819880520,7
10.1177/14614448221079035,6
10.1177/1461444820924622,29
10.1177/1461444819887141,94
10.1177/1461444817717513,18
10.1177/1461444816660728,41
10.1177/1461444820942744,33
10.1177/1461444814530096,13
10.1177/14614448211012377,9
10.1177/1461444815625949,63
10.1177/1461444820929321,99
10.1177/14614448211063174,5
10.1177/1461444816631506,17
10.1177/1461444814562445,222
10.1177/14614448221149938,1
10.1177/14614448231173132,0
10.1177/1461444815608807,789
10.1177/14614448221090916,4
10.1177/1461444820905531,11
10.1177/1461444818810026,43
10.1177/14614448231171835,0
10.1177/1461444814524163b,5
10.1177/1461444819846059,60
10.1177/1461444818779754,7
10.1177/14614448221084221,0
10.1177/1461444817698776,51
10.1177/14614448211031908,59
10.1177/1461444820935608,1
10.1177/1461444818821363,1
10.1177/14614448211027171,15
10.1177/14614448231215483,0
10.1177/14614448221075736,5
10.1177/1461444813520477,131
10.1177/1461444820978293,36
10.1177/1461444815624182,70
10.1177/1461444814562162,85
10.1177/14614448211038763,1
10.1177/14614448221090195,1
10.1177/1461444819856919,53
10.1177/1461444815580413,78
10.1177/1461444814523725,20
10.1177/14614448211036356,2
10.1177/1461444820922164,1
10.1177/1461444819859894,0
10.1177/1461444819893987,85
10.1177/1461444815609081,139
10.1177/14614448211015979,12
10.1177/1461444814567983,31
10.1177/1461444821998645,4
10.1177/1461444820912388,10
10.1177/1461444817740755,42
10.1177/1461444820921175,5
10.1177/1461444820913122,69
10.1177/1461444814543999,49
10.1177/14614448221099187,7
10.1177/1461444813519408,1
